שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670102,"ביה""ח ממשלתיים",0,0,0,-30000,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670104,תכנון ובניית מיטות,0,0,0,-5000,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670202,"ביה""ח ממשלתיים",0,0,0,3000,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670205,תשתיות לשילוב חולי נפש,0,0,0,-2500,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670301,תכנון,0,0,0,-2500,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670302,סקטור ממשלתי,0,0,0,-9000,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,670501,פרוייקט מיחשוב מרכזי,0,0,0,296,0
2007,67,018,נמשך פניית סוף שנה,7,שינוי פנימי,2,אישור ועדה,872,670202,"ביה""ח ממשלתיים",0,0,0,0,0
2007,67,018,נמשך פניית סוף שנה,7,שינוי פנימי,2,אישור ועדה,872,671905,"תמיכה בקופ""ח כללית עפ""י","-2,000",0,0,-21400,0
2007,67,018,נמשך פניית סוף שנה,7,שינוי פנימי,2,אישור ועדה,872,671906,תמיכה בפיתוח תשתיות,"2,000",0,0,21400,0
2007,67,019,העברה ל24,9,מרזרבה כללית,2,אישור ועדה,895,470101,רזרבה כללית,"-3,000",0,0,0,0
2007,67,019,העברה ל24,9,מרזרבה כללית,2,אישור ועדה,895,670202,"ביה""ח ממשלתיים","3,000",0,0,0,0
2007,67,020,פניית הודעת חשב,7,שינוי פנימי,1,אישור אגף,0,671905,"תמיכה בקופ""ח כללית עפ""י",0,0,0,0,0
2007,68,001,פלאט 3.5% ינואר 07,2,קיצוץ לרזרבה,2,אישור ועדה,9000,680110,שירותים מרכזיים,-153,0,0,0,0
2007,68,001,פלאט 3.5% ינואר 07,2,קיצוץ לרזרבה,2,אישור ועדה,9000,680113,מיכון,-29,0,0,0,0
2007,68,001,פלאט 3.5% ינואר 07,2,קיצוץ לרזרבה,2,אישור ועדה,9000,680115,יעוץ משפטי,-18,0,0,0,0
2007,68,002,עודפים,5,עודפים,3,הודעה לועדה,0,680110,שירותים מרכזיים,"2,817",0,0,0,0
2007,68,002,עודפים,5,עודפים,3,הודעה לועדה,0,680113,מיכון,390,0,0,0,0
2007,68,002,עודפים,5,עודפים,3,הודעה לועדה,0,680115,יעוץ משפטי,"2,000",0,0,0,0
2007,68,002,עודפים,5,עודפים,3,הודעה לועדה,0,680320,מדור התשלומים,"3,849",0,0,0,0
2007,68,003,"יחידת הסמך לעו""ז- שונות+ ביקורת ואקטואר",9,מרזרבה כללית,2,אישור ועדה,273,470101,רזרבה כללית,"-3,733",0,0,-5400,0
2007,68,003,"יחידת הסמך לעו""ז- שונות+ ביקורת ואקטואר",9,מרזרבה כללית,2,אישור ועדה,273,680110,שירותים מרכזיים,729,0,0,0,-3
2007,68,003,"יחידת הסמך לעו""ז- שונות+ ביקורת ואקטואר",9,מרזרבה כללית,2,אישור ועדה,273,680115,יעוץ משפטי,"-1,339",0,0,0,0
2007,68,003,"יחידת הסמך לעו""ז- שונות+ ביקורת ואקטואר",9,מרזרבה כללית,2,אישור ועדה,273,680117,פעולות למתן היתרים,"2,250",0,0,0,0
2007,68,003,"יחידת הסמך לעו""ז- שונות+ ביקורת ואקטואר",9,מרזרבה כללית,2,אישור ועדה,273,680320,מדור התשלומים,"2,093",0,0,5400,3
2007,68,005,פלאט 07 6%,2,קיצוץ לרזרבה,2,אישור ועדה,9001,680320,מדור התשלומים,-171,0,0,0,0
2007,68,005,פלאט 07 6%,2,קיצוץ לרזרבה,2,אישור ועדה,9001,680901,רזרבה להתייקרויות,-171,0,0,0,0
2007,68,006,פניה תקציבית חודש יולי,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,415,470101,רזרבה כללית,0,0,0,0,-4
2007,68,006,פניה תקציבית חודש יולי,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,415,680110,שירותים מרכזיים,-411,0,0,0,0
